[05:55:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[05:56:11] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[05:56:11] [main/INFO]: Reloading ResourceManager: Default
[05:56:28] [Worker-Main-2/INFO]: Loaded 7 recipes
[05:56:36] [Worker-Main-2/INFO]: Loaded 927 advancements
[05:57:13] [Server thread/INFO]: Starting minecraft server version 1.16.5
[05:57:13] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[05:57:13] [Server thread/INFO]: Loading properties
[05:57:13] [Server thread/INFO]: Default game type: SURVIVAL
[05:57:13] [Server thread/INFO]: Generating keypair
[05:57:19] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:57:20] [Server thread/INFO]: Using epoll channel type
[05:57:23] [Server thread/INFO]: Preparing level "world"
[05:57:25] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
[05:57:58] [Server thread/INFO]: Preparing spawn area: 0%
